month,location,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Vehicle crime,Burglary,Shoplifting,Bicycle theft,Drugs,Robbery,Other crime,Theft from the person,Possession of weapons,force_name,force_area,population2021,population density,safe_index
2019-10-01,avon-and-somerset,4216,2817.0,1648.0,1261.0,1122.0,1000.0,840.0,904.0,262.0,279.0,203.0,137.0,114.0,80.0,avon-and-somerset,4777.0,1744500,365.1873561,0.3559154155893071
2019-10-01,bedfordshire,1607,1055.0,416.0,494.0,449.0,704.0,392.0,315.0,105.0,107.0,71.0,74.0,62.0,28.0,bedfordshire,1024.0,704800,688.28125,0.07566127612714704
2019-10-01,cambridgeshire,2056,1212.0,516.0,607.0,566.0,420.0,451.0,379.0,401.0,145.0,78.0,118.0,106.0,60.0,cambridgeshire,3389.0,894300,263.8831514,0.24479621903506418
2019-10-01,cheshire,3444,1873.0,1413.0,916.0,520.0,321.0,338.0,530.0,120.0,156.0,39.0,145.0,61.0,47.0,cheshire,2346.0,1095100,466.7945439,0.2022687639795905
2019-10-01,city-of-london,138,122.0,32.0,31.0,231.0,27.0,27.0,70.0,39.0,70.0,17.0,22.0,100.0,3.0,city-of-london,2.6,8600,3307.692308,0.0014999785551703074
2019-10-01,cleveland,2261,2603.0,517.0,952.0,464.0,406.0,421.0,636.0,55.0,153.0,74.0,185.0,46.0,37.0,cleveland,597.0,569300,953.60134,0.07697674022595637
2019-10-01,cumbria,1526,601.0,342.0,502.0,264.0,102.0,211.0,195.0,19.0,82.0,14.0,50.0,15.0,19.0,cumbria,6820.0,499800,73.28445748,0.6005701556989872
2019-10-01,derbyshire,3146,2224.0,687.0,744.0,576.0,556.0,469.0,450.0,75.0,257.0,76.0,183.0,78.0,70.0,derbyshire,2625.0,1056000,402.2857143,0.22148539949866572
2019-10-01,devon-and-cornwall,3701,2718.0,632.0,1266.0,688.0,379.0,406.0,560.0,63.0,323.0,62.0,175.0,77.0,105.0,devon-and-cornwall,10270.0,1788000,174.0993184,0.6274278543552161
2019-10-01,dorset,1991,1623.0,266.0,642.0,475.0,393.0,327.0,254.0,113.0,113.0,31.0,52.0,45.0,34.0,dorset,2653.0,779900,293.9690916,0.20383384379566988
2019-10-01,durham,2282,1538.0,410.0,766.0,444.0,271.0,369.0,502.0,40.0,110.0,25.0,139.0,19.0,30.0,durham,2232.0,522100,233.9157706,0.2909042271078559
2019-10-01,dyfed-powys,1207,753.0,181.0,317.0,234.0,98.0,134.0,161.0,10.0,179.0,5.0,78.0,4.0,27.0,dyfed-powys,8700.0,516000,59.31034483,0.5786282126620951
2019-10-01,essex,6040,3394.0,1238.0,1438.0,1112.0,1292.0,804.0,906.0,205.0,428.0,116.0,335.0,114.0,109.0,essex,3670.0,1860000,506.8119891,0.3365313905644809
2019-10-01,gloucestershire,1386,1310.0,343.0,397.0,347.0,260.0,313.0,252.0,71.0,92.0,26.0,86.0,30.0,29.0,gloucestershire,2650.0,645100,243.4339623,0.17374767832354376
2019-10-01,gwent,1750,970.0,702.0,101.0,398.0,332.0,231.0,317.0,26.0,97.0,24.0,110.0,20.0,14.0,gwent,1555.0,587700,377.9421222,0.11482572805939958
2019-10-01,hampshire,5260,2999.0,1310.0,1435.0,1123.0,1122.0,1039.0,1087.0,343.0,374.0,114.0,201.0,93.0,150.0,hampshire,4178.0,1998300,478.2910483,0.32863082190992593
2019-10-01,hertfordshire,2426,2131.0,478.0,750.0,959.0,924.0,478.0,687.0,165.0,272.0,92.0,165.0,143.0,59.0,hertfordshire,1643.0,1198800,729.6409008,0.10995584477507026
2019-10-01,humberside,2813,1411.0,751.0,988.0,547.0,351.0,563.0,793.0,157.0,107.0,68.0,198.0,29.0,46.0,humberside,3517.0,935900,266.107478,0.3254703904002858
2019-10-01,kent,7021,2966.0,1281.0,2056.0,1321.0,1200.0,943.0,1150.0,110.0,338.0,168.0,489.0,102.0,193.0,kent,3710.0,1855900,500.2425876,0.40533315021691724
2019-10-01,lancashire,4929,4924.0,834.0,1503.0,1253.0,873.0,1070.0,852.0,106.0,214.0,88.0,251.0,75.0,88.0,lancashire,3067.0,1235300,402.7714379,0.37119380978684896
2019-10-01,leicestershire,2651,995.0,767.0,918.0,756.0,831.0,701.0,372.0,146.0,224.0,85.0,173.0,88.0,55.0,leicestershire,2538.0,1121900,442.0409771,0.19791237797534675
2019-10-01,lincolnshire,2123,1113.0,412.0,532.0,371.0,264.0,379.0,440.0,84.0,180.0,32.0,152.0,20.0,61.0,lincolnshire,5921.0,768400,129.7753758,0.4709890624078588
2019-10-01,merseyside,4468,3319.0,1177.0,1605.0,840.0,742.0,743.0,712.0,182.0,1056.0,137.0,211.0,211.0,120.0,merseyside,645.0,1423300,2206.666667,0.06539576530561003
2019-10-01,metropolitan,19228,20445.0,4430.0,4536.0,10363.0,11174.0,7122.0,3834.0,1619.0,3643.0,3633.0,842.0,5132.0,515.0,metropolitan,1578.0,1998300,1266.34981,0.5659997666161795
2019-10-01,norfolk,2381,1131.0,527.0,577.0,360.0,127.0,212.0,402.0,108.0,213.0,31.0,160.0,59.0,57.0,norfolk,5371.0,916200,170.5827593,0.38037285946378013
2019-10-01,north-wales,2188,1369.0,504.0,627.0,388.0,145.0,240.0,302.0,31.0,158.0,23.0,92.0,17.0,31.0,north-wales,6290.0,687000,109.2209857,0.5607201836647208
2019-10-01,north-yorkshire,1557,1729.0,242.0,428.0,381.0,223.0,329.0,396.0,122.0,138.0,21.0,88.0,36.0,28.0,north-yorkshire,8310.0,818200,98.45968712,0.4795757322703815
2019-10-01,northamptonshire,2126,1299.0,273.0,631.0,407.0,620.0,470.0,337.0,102.0,162.0,68.0,115.0,27.0,47.0,northamptonshire,2364.0,785200,332.1489002,0.1967229506039833
2019-10-01,northern-ireland,3527,5152.0,110.0,1703.0,974.0,249.0,575.0,572.0,71.0,688.0,52.0,217.0,31.0,109.0,northern-ireland,13843.0,1903100,137.4774254,0.8743808406260112
2019-10-01,northumbria,4402,4236.0,1557.0,1813.0,1318.0,691.0,663.0,1185.0,158.0,308.0,77.0,296.0,169.0,109.0,northumbria,5553.0,1447800,260.723933,0.5488472321372364
2019-10-01,nottinghamshire,3073,2730.0,628.0,1106.0,804.0,748.0,768.0,925.0,180.0,466.0,112.0,266.0,180.0,125.0,nottinghamshire,2160.0,1148500,531.712963,0.19575397691351756
2019-10-01,south-wales,3790,2382.0,1132.0,1117.0,763.0,587.0,520.0,756.0,177.0,423.0,50.0,194.0,98.0,76.0,south-wales,2074.0,1317000,635.0048216,0.17730619466281286
2019-10-01,south-yorkshire,4548,2722.0,1371.0,1621.0,1255.0,1296.0,1168.0,908.0,95.0,309.0,177.0,391.0,154.0,158.0,south-yorkshire,1554.0,1375100,884.8777349,0.16911631614869196
2019-10-01,staffordshire,2128,2564.0,286.0,625.0,518.0,357.0,247.0,518.0,77.0,150.0,33.0,91.0,36.0,52.0,staffordshire,2713.0,1134500,418.1717656,0.1487957424935225
2019-10-01,suffolk,2236,624.0,447.0,527.0,384.0,341.0,239.0,391.0,88.0,150.0,32.0,125.0,48.0,47.0,suffolk,3797.0,760300,200.2370292,0.3077972264895917
2019-10-01,surrey,2126,1807.0,676.0,1021.0,641.0,607.0,652.0,389.0,103.0,329.0,39.0,149.0,70.0,69.0,surrey,1663.0,1203100,723.4515935,0.10777207676063115
2019-10-01,sussex,4110,2446.0,973.0,1322.0,1022.0,855.0,726.0,811.0,192.0,331.0,115.0,198.0,88.0,174.0,sussex,3783.0,1705700,450.8855406,0.2806244595422952
2019-10-01,thames-valley,5360,2303.0,810.0,1617.0,1583.0,1683.0,1064.0,1197.0,572.0,608.0,154.0,279.0,328.0,189.0,thames-valley,5742.0,2515100,438.0181122,0.39329749814806486
2019-10-01,warwickshire,1465,823.0,217.0,343.0,386.0,515.0,342.0,270.0,58.0,71.0,39.0,49.0,40.0,42.0,warwickshire,1975.0,596800,302.1772152,0.14573998378349096
2019-10-01,west-mercia,3375,3184.0,465.0,862.0,711.0,480.0,567.0,668.0,75.0,209.0,66.0,135.0,66.0,104.0,west-mercia,7428.0,1299900,175.0,0.5529031860314619
2019-10-01,west-midlands,8453,2950.0,1622.0,2122.0,1685.0,2686.0,1937.0,1274.0,246.0,550.0,775.0,370.0,205.0,240.0,west-midlands,902.0,2919600,3236.807095,0.07804748522271278
2019-10-01,west-yorkshire,10126,4292.0,2752.0,2703.0,1898.0,1995.0,1818.0,1556.0,187.0,681.0,298.0,705.0,339.0,209.0,west-yorkshire,2029.0,2351600,1158.994579,0.25633725077160796
2019-10-01,wiltshire,1285,1467.0,257.0,484.0,355.0,229.0,249.0,392.0,71.0,121.0,32.0,57.0,40.0,28.0,wiltshire,3490.0,743800,213.1232092,0.19544796171424986
2019-11-01,avon-and-somerset,4169,2473.0,1498.0,1420.0,1088.0,990.0,744.0,841.0,221.0,314.0,166.0,176.0,118.0,72.0,avon-and-somerset,4777.0,1744500,365.1873561,0.3587068408398604
2019-11-01,bedfordshire,1554,837.0,407.0,461.0,435.0,587.0,417.0,336.0,73.0,104.0,76.0,89.0,66.0,34.0,bedfordshire,1024.0,704800,688.28125,0.07281254754616628
2019-11-01,cambridgeshire,2059,1240.0,510.0,648.0,562.0,454.0,428.0,311.0,298.0,136.0,66.0,127.0,93.0,63.0,cambridgeshire,3389.0,894300,263.8831514,0.24541282225549088
2019-11-01,cheshire,3603,1490.0,1542.0,882.0,486.0,353.0,378.0,500.0,108.0,126.0,33.0,137.0,60.0,42.0,cheshire,2346.0,1095100,466.7945439,0.20741906694478587
2019-11-01,city-of-london,134,113.0,48.0,18.0,232.0,22.0,30.0,66.0,22.0,78.0,17.0,34.0,106.0,13.0,city-of-london,2.6,8600,3307.692308,0.0014447801642026804
2019-11-01,cleveland,2053,1844.0,459.0,914.0,420.0,367.0,483.0,641.0,54.0,143.0,61.0,154.0,34.0,49.0,cleveland,597.0,569300,953.60134,0.07201203473269253
2019-11-01,cumbria,1442,534.0,379.0,506.0,233.0,60.0,163.0,221.0,17.0,94.0,13.0,55.0,13.0,25.0,cumbria,6820.0,499800,73.28445748,0.5703472594024165
2019-11-01,derbyshire,3144,2094.0,606.0,791.0,573.0,507.0,485.0,497.0,80.0,203.0,57.0,178.0,63.0,61.0,derbyshire,2625.0,1056000,402.2857143,0.22199449394957818
2019-11-01,devon-and-cornwall,3742,2480.0,531.0,1123.0,618.0,351.0,419.0,507.0,60.0,321.0,42.0,175.0,41.0,85.0,devon-and-cornwall,10270.0,1788000,174.0993184,0.6120931410997793
2019-11-01,dorset,1805,1358.0,248.0,674.0,404.0,349.0,303.0,261.0,101.0,118.0,29.0,49.0,56.0,19.0,dorset,2653.0,779900,293.9690916,0.19137854514586916
2019-11-01,durham,2228,1387.0,376.0,754.0,482.0,286.0,365.0,449.0,40.0,104.0,24.0,154.0,28.0,25.0,durham,2232.0,522100,233.9157706,0.28622222866126773
2019-11-01,dyfed-powys,1203,667.0,178.0,304.0,206.0,68.0,134.0,156.0,6.0,159.0,7.0,48.0,4.0,13.0,dyfed-powys,8700.0,516000,59.31034483,0.562560032657171
2019-11-01,essex,5707,2986.0,1149.0,1526.0,918.0,1207.0,928.0,909.0,185.0,550.0,126.0,306.0,133.0,174.0,essex,3670.0,1860000,506.8119891,0.3295859310641295
2019-11-01,gloucestershire,1331,1217.0,335.0,391.0,435.0,240.0,297.0,247.0,64.0,120.0,25.0,44.0,30.0,30.0,gloucestershire,2650.0,645100,243.4339623,0.1697005332740225
2019-11-01,gwent,1671,847.0,640.0,121.0,351.0,270.0,230.0,324.0,29.0,136.0,25.0,107.0,40.0,21.0,gwent,1555.0,587700,377.9421222,0.11173062652670061
2019-11-01,hampshire,5135,2232.0,1164.0,1452.0,1036.0,1075.0,1001.0,1119.0,270.0,384.0,144.0,210.0,106.0,160.0,hampshire,4178.0,1998300,478.2910483,0.3220263948450382
2019-11-01,hertfordshire,2280,1823.0,483.0,758.0,684.0,763.0,543.0,708.0,139.0,254.0,94.0,162.0,137.0,75.0,hertfordshire,1643.0,1198800,729.6409008,0.10419845052182465
2019-11-01,humberside,2792,1093.0,789.0,960.0,512.0,381.0,666.0,679.0,109.0,112.0,60.0,174.0,29.0,42.0,humberside,3517.0,935900,266.107478,0.324678478780149
2019-11-01,kent,6715,2508.0,1234.0,1949.0,1261.0,1099.0,937.0,1141.0,108.0,335.0,161.0,480.0,125.0,167.0,kent,3710.0,1855900,500.2425876,0.38812066754791086
2019-11-01,lancashire,4845,4195.0,782.0,1462.0,1198.0,824.0,885.0,820.0,83.0,238.0,85.0,254.0,85.0,67.0,lancashire,3067.0,1235300,402.7714379,0.35916117383290413
2019-11-01,leicestershire,2655,821.0,717.0,891.0,817.0,972.0,566.0,407.0,133.0,243.0,71.0,194.0,83.0,68.0,leicestershire,2538.0,1121900,442.0409771,0.19616266875352878
2019-11-01,lincolnshire,2008,1030.0,388.0,494.0,359.0,286.0,342.0,376.0,78.0,140.0,41.0,125.0,23.0,62.0,lincolnshire,5921.0,768400,129.7753758,0.44099167687810054
2019-11-01,merseyside,4327,2228.0,1065.0,1447.0,783.0,821.0,829.0,623.0,174.0,1102.0,102.0,209.0,229.0,121.0,merseyside,645.0,1423300,2206.666667,0.06342046313758362
2019-11-01,metropolitan,18883,18429.0,4057.0,4237.0,9933.0,10358.0,6923.0,3818.0,1247.0,3614.0,3712.0,840.0,4675.0,478.0,metropolitan,1578.0,1998300,1266.34981,0.5462706328790137
2019-11-01,norfolk,2339,922.0,541.0,553.0,320.0,139.0,187.0,374.0,71.0,200.0,49.0,201.0,72.0,53.0,norfolk,5371.0,916200,170.5827593,0.3705754227529551
2019-11-01,north-wales,2252,1148.0,418.0,574.0,370.0,121.0,292.0,323.0,17.0,126.0,22.0,92.0,19.0,30.0,north-wales,6290.0,687000,109.2209857,0.5629866966258454
2019-11-01,north-yorkshire,1625,1575.0,243.0,464.0,363.0,237.0,306.0,382.0,84.0,147.0,25.0,104.0,32.0,33.0,north-yorkshire,8310.0,818200,98.45968712,0.4964944577467337
2019-11-01,northamptonshire,2106,1126.0,269.0,503.0,449.0,661.0,430.0,288.0,64.0,155.0,88.0,114.0,40.0,55.0,northamptonshire,2364.0,785200,332.1489002,0.18753695751152913
2019-11-01,northern-ireland,3491,3795.0,89.0,1490.0,830.0,296.0,546.0,566.0,40.0,668.0,46.0,240.0,37.0,92.0,northern-ireland,13843.0,1903100,137.4774254,0.8325511680860485
2019-11-01,northumbria,4242,3276.0,1381.0,1722.0,1304.0,639.0,649.0,1193.0,101.0,278.0,54.0,278.0,117.0,105.0,northumbria,5553.0,1447800,260.723933,0.524971320066168
2019-11-01,nottinghamshire,3185,2139.0,610.0,965.0,706.0,784.0,725.0,915.0,146.0,387.0,106.0,239.0,192.0,110.0,nottinghamshire,2160.0,1148500,531.712963,0.1914380924135684
2019-11-01,south-wales,3470,1967.0,1007.0,1110.0,818.0,659.0,547.0,790.0,136.0,388.0,30.0,195.0,87.0,65.0,south-wales,2074.0,1317000,635.0048216,0.16816888415483985
2019-11-01,south-yorkshire,4394,2281.0,1222.0,1430.0,1077.0,1303.0,1240.0,819.0,75.0,302.0,150.0,331.0,140.0,134.0,south-yorkshire,1554.0,1375100,884.8777349,0.16090599491897734
2019-11-01,staffordshire,2185,2363.0,290.0,901.0,559.0,718.0,325.0,543.0,64.0,190.0,60.0,94.0,61.0,63.0,staffordshire,2713.0,1134500,418.1717656,0.1717385365012366
